INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - Field	Freq.
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 659-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 533z1.9	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 116e1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 204e1.h	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 204e1.k	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 621-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 208b1.k	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 406b2.j	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 038b1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://id.loc.gov/vocabulary/relators/cmp	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 132b1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 200b1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 200b1.b	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 537-2.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 578-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 200b1.h	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 533z1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 124b1.d	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/ontology/bibo/shortTitle	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 673b1.9	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 501-2.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 673b1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 527-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 903-2.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 907-1.z	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 652-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 112e1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 568-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 907-1.f	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 907-1.g	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 527-1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://id.loc.gov/vocabulary/relators/drt	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 452a1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 200e1.k	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 200e1.h	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/terms/isFormatOf	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 800-1.c	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 104b1.c	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 105-2.d	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/ontology/bibo/doi	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 516a2.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 674-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 101-1.U	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 104b2.d	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 533z2.9	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 104f1.d	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 204e1.9	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 100b2.d	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 104f1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 532z1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 200-1.h	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://www.w3.org/2000/01/rdf-schema#seeAlso	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 200-1.k	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 533z2.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 533z1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 533z2.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 076-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 136b1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 651-1.b	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://id.loc.gov/vocabulary/relators/hnr	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 651-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 208b1.b	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 532z1.9	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 108a1.d	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 108a1.c	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 512-1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 086-1.d	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 516-1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 523-2.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 673a1.9	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 512-1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 504-2.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 532z1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 120e1.b	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 531z1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 026h1.a	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 120e1.d	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/elements/1.1/isPartOf	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 120e1.p	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/terms/source	1
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 104b2.p	1
